Name,z,Mstar,Mstar_err_plus,Mstar_err_minus,SFR,SFR_err_plus,SFR_err_minus,Age,Age_err_plus,Age_err_minus,OH_strong,OH_strong_err_plus,OH_strong_err_minus,OH_Te,OH_Te_err_plus,OH_Te_err_minus,T_O_plus,T_O_plus_err_plus,T_O_plus_err_minus,T_O_pp,T_O_pp_err_plus,T_O_pp_err_minus,ne,ne_err_plus,ne_err_minus
DC-417567,5.666,10.0,0.3,0.3,72.0,42.0,27.0,105.0,100.0,56.0,8.04,0.02,0.02,7.96,0.28,0.14,15.0,17.0,4.0,16.0,2.0,2.0,2268.0,2636.0,912.0
DC-494763,5.233,9.5,0.4,0.4,28.0,36.0,16.0,175.0,352.0,119.0,8.29,0.02,0.02,,,,,,,15.0,5.0,3.0,,,
DC-519281,5.575,9.8,0.4,0.4,32.0,35.0,17.0,324.0,331.0,194.0,7.99,0.08,0.08,,,,,,,,,,637.0,1430.0,321.0
DC-536534,5.689,10.4,0.3,0.3,62.0,64.0,31.0,456.0,275.0,224.0,8.1,0.04,0.05,,,,14.0,6.0,3.0,18.0,2.0,3.0,,,
DC-630594,4.44,9.7,0.3,0.3,37.0,39.0,19.0,186.0,227.0,88.0,8.4,0.04,0.04,7.99,0.29,0.19,17.0,8.0,3.0,15.0,3.0,3.0,185.0,246.0,116.0
DC-683613,5.541,10.2,0.3,0.3,68.0,67.0,34.0,274.0,271.0,159.0,8.49,0.03,0.05,,,,19.0,14.0,4.0,,,,547.0,411.0,262.0
DC-709575,4.412,9.5,0.4,0.4,28.0,39.0,16.0,190.0,302.0,95.0,8.27,0.02,0.03,8.01,0.34,0.2,13.0,4.0,3.0,18.0,3.0,2.0,484.0,685.0,238.0
DC-742174,5.636,9.5,0.4,0.4,15.0,16.0,8.0,354.0,338.0,215.0,7.84,0.05,0.05,,,,,,,,,,,,
DC-842313,4.552,10.6,0.5,0.5,204.0,918.0,167.0,394.0,250.0,221.0,8.48,0.03,0.05,8.49,0.37,0.27,11.0,3.0,2.0,13.0,9.0,0.0,154.0,122.0,87.0
DC-848185,5.294,10.3,0.3,0.3,178.0,290.0,110.0,98.0,52.0,48.0,8.28,0.02,0.03,8.06,0.22,0.22,15.0,3.0,3.0,14.0,4.0,2.0,388.0,153.0,147.0
DC-873321,5.154,10.0,0.3,0.3,78.0,64.0,35.0,112.0,84.0,63.0,8.11,0.06,0.07,,,,15.0,9.0,3.0,,,,613.0,307.0,291.0
DC-873756,4.545,10.5,0.1,0.1,115.0,76.0,46.0,550.0,317.0,169.0,8.68,0.58,0.88,,,,,,,,,,,,
VC-5100541407,4.563,10.1,0.3,0.3,42.0,50.0,23.0,400.0,427.0,239.0,8.21,0.24,0.4,,,,,,,,,,,,
VC-5100822662,4.52,10.2,0.3,0.3,78.0,48.0,30.0,237.0,196.0,122.0,8.33,0.04,0.04,,,,,,,15.0,4.0,3.0,299.0,174.0,194.0
VC-5100994794,4.58,9.6,0.3,0.3,32.0,51.0,20.0,193.0,252.0,95.0,8.41,0.04,0.05,,,,15.0,6.0,3.0,,,,1153.0,289.0,411.0
VC-5101218326,4.573,10.9,0.3,0.3,562.0,534.0,274.0,646.0,97.0,275.0,8.36,0.34,0.3,,,,,,,,,,,,
VC-5101244930,4.581,9.7,0.3,0.3,28.0,20.0,12.0,183.0,365.0,88.0,8.24,0.1,0.13,,,,17.0,15.0,4.0,,,,,,
VC-5110377875,4.55,10.2,0.2,0.2,99.0,75.0,43.0,161.0,127.0,108.0,8.41,0.08,0.09,,,,13.0,13.0,3.0,,,,924.0,767.0,525.0
