ID,z,logMstar,logMstar_err,OH,Teflag
501,0.44987,9.101,0.1,8.56,0
587,0.308,7.179,0.101,8.20,0
635,0.7613,9.623,0.106,8.70,0
656,0.76268,9.132,0.101,8.66,0
676,0.76138,8.2,0.109,8.58,0
799,0.67898,8.441,0.109,8.46,0
827,0.30807,8.377,0.101,8.66,0
849,0.31984,8.002,0.105,8.60,0
856,2.32052,8.389,0.105,7.76,1
897,0.67941,8.568,0.101,8.42,0
937,0.28816,7.497,0.102,8.52,0
958,0.67958,8.27,0.104,8.52,0
964,0.67933,7.662,0.109,8.48,0
1023,0.78484,7.838,0.101,7.66,0
1028,0.78482,7.772,0.1,7.65,1
1038,0.86851,9.38,0.112,8.60,0
1045,0.78485,7.276,0.101,7.54,1
1069,0.78485,7.005,0.143,7.74,0
1074,0.67921,8.365,0.103,8.56,0
1082,0.68502,8.303,0.111,8.62,0
1121,0.25339,7.87,0.101,8.44,0
1195,2.25553,9.298,0.118,8.60,0
1240,0.68492,7.504,0.105,8.64,0
1264,0.68597,8.08,0.104,8.54,0
1275,0.68608,8.341,0.115,8.54,0
1280,2.25694,8.715,0.102,8.21,1
1287,0.79128,8.021,0.104,8.58,0
1292,0.68522,8.378,0.105,8.56,0
1302,0.67831,8.951,0.109,8.44,0
1326,2.25484,8.248,0.107,8.04,1
1354,0.67769,7.94,0.102,8.74,0
1364,0.67762,8.622,0.102,8.62,0
1401,0.30866,8.198,0.1,8.52,0
1403,0.6851,8.143,0.104,8.42,0
1414,2.21451,8.551,0.166,8.38,0
1440,0.30889,7.731,0.103,8.52,0
1449,2.26199,8.962,0.11,8.47,1
1462,2.0444,8.952,0.12,8.02,0
1467,0.65394,8.039,0.123,8.52,0
1470,0.42407,8.186,0.102,8.66,0
1495,0.78466,6.726,0.11,7.94,1
1574,0.31301,7.761,0.104,8.68,0
1576,2.31738,8.995,0.107,8.24,0
1603,0.78562,7.498,0.102,8.28,1
1609,2.22756,8.854,0.105,8.38,0
1611,0.40657,7.381,0.102,8.46,0
1627,0.28528,7.148,0.106,8.46,0
1675,2.25455,8.623,0.112,8.46,1
1704,0.65219,9.324,0.103,8.52,0
1730,0.64002,7.738,0.11,8.40,0
1773,2.29896,8.658,0.128,8.32,0
1797,2.25834,9.3,0.172,8.32,0
1800,0.76202,9.746,0.101,8.74,0
1803,0.79165,7.31,0.133,8.50,0
1831,2.34666,9.339,0.122,8.36,0
1908,0.6347,8.135,0.102,8.39,1
1934,0.65414,10.257,0.102,8.74,0
1950,0.67954,8.024,0.101,8.41,1
1988,0.65477,7.657,0.103,8.56,0
1997,0.76155,6.734,0.131,7.60,0
2094,0.28309,8.487,0.1,8.52,0
2169,0.30845,7.776,0.101,8.48,0
2226,0.83987,8.247,0.118,8.44,0
2438,2.37586,10.047,0.175,8.42,0
2691,2.26668,10.322,0.118,8.56,0
2742,1.99334,9.39,0.17,8.24,0
2754,2.25934,9.537,0.157,8.38,0
20253,0.2533,8.304,0.1,8.40,0
20570,0.67871,8.581,0.107,8.72,0
20931,2.10019,8.647,0.119,8.1,1
