NIRSpec_ID,RA,Dec,z,logMstar,logMstar_err,logSFR_Hbeta,logSFR_Hbeta_err,logOH,logOH_err
MACS1149-JD1,177.389945,22.412722,9.11,8.47,0.05,0.40,0.06,8.00,0.18
9457,53.17324,-27.795674,6.00,8.66,0.03,0.76,0.06,8.01,0.09
50010,189.2881531,62.1837804,6.04,8.00,0.12,0.55,0.11,7.99,0.15
13887,53.1958751,-27.7684324,6.05,8.11,0.08,0.62,0.09,7.90,0.10
99302,53.125818,-27.818228,6.07,7.79,0.08,0.06,0.05,8.20,0.13
617,214.860024,52.898125,6.23,7.11,0.04,0.60,0.06,7.70,0.08
15265,53.0831133,-27.786351,6.27,7.66,0.04,1.03,0.04,7.99,0.15
42988,53.0906811,-27.7442159,6.27,8.51,0.04,0.81,0.06,8.03,0.20
1817,189.3963575,62.2301725,6.32,8.30,0.10,0.78,0.08,7.73,0.12
106197,53.131047,-27.8090823,6.34,7.46,1.30,-0.03,0.07,7.57,0.09
662,214.877883,52.897675,6.54,7.20,0.13,0.75,0.04,7.27,0.10
449,214.940489,52.932556,7.55,7.60,0.20,0.64,0.06,7.70,0.07
10038687,189.2030733,62.1439285,7.57,8.30,0.20,0.51,0.21,7.44,0.12
9074,53.0863067,-27.8239613,7.61,8.10,0.10,1.12,0.08,8.00,0.10
12637,53.133469,-27.760373,7.66,8.60,0.03,1.30,0.02,8.00,0.10
3626,53.0873836,-27.8603113,7.96,9.37,0.14,1.37,0.16,7.50,0.22
20198852,53.1077607,-27.812944,8.27,7.60,0.10,0.28,0.06,7.30,0.10
20213084,53.1589064,-27.765076,8.49,8.09,0.03,0.79,0.03,7.90,0.13
20100293,53.1687381,-27.8169753,8.75,8.00,0.20,0.20,0.11,7.55,0.15
28,214.938642,52.911749,8.76,8.70,0.10,1.31,0.03,7.95,0.10
20110306,53.1691329,-27.8029208,8.92,7.80,0.10,-0.12,0.19,8.07,0.14
10278,53.13916658,-27.8484843,9.06,9.10,0.10,1.16,0.11,7.87,0.12
3990,189.0169954,62.2415817,9.38,8.65,0.04,1.75,0.03,7.30,0.12
A2744-YD4,3.60375,-30.38225,7.88,8.69,0.17,0.61,0.04,8.19,0.13
BDF-3299-a,337.05,-35.166,7.11,7.90,0.19,0.51,0.01,7.68,0.09
COSMOS24108-a,150.1972,2.47865,6.36,9.29,0.08,0.56,0.04,8.20,0.05
RX2129-z8HeII,322.416266,0.099675,8.16,7.75,0.06,0.94,0.07,7.63,0.14
