logMstar,OH
9.24928334211018,8.688750913075237
9.318235032644209,8.768187290842066
9.387328993040809,8.775364805408802
9.442852461197841,8.774995328452272
9.490166745941416,8.744070107190785
9.562708450122027,8.800138553858698
9.639435790284313,8.830322485433264
9.72329573445224,8.83785684254336
9.792954173532426,8.858335633716683
9.86665668654198,8.924829276164914
9.967638914841931,8.935955522618784
10.066293155191648,8.92946684899859
10.18081543988992,8.963598450744898
10.328995164240293,9.00311645319109
10.586446990673892,9.043333807566208
